Entity,Apr_Temp,April Per POP,DEPENDENT GROWTH RATE,Gov_Health_Spending_US_Thousands,Prepaid_Private_Health_Spending_US_Thousands,Out_Pocket_Health_Spending_US_Thousands,2019_Life_Expectancy,Child_Mortality_Rate_Percent,Maternal_Mortality_Per_100000,DALY_Per_100000,Deaths_HIV_AIDS,New_Cases_HIV_AIDS,People_Living_With_HIV_AIDS_x10,Region,Population,Area (sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service,Apr_precip
Senegal,30.04,1.59E-05,4.389473684,204815,72093,448912,67.941,4.71,315,41359.1301,1803.99125,2870.30907,5086.23883,SUB-SAHARAN AFRICA,11987121,196190,0.27,0.2,55.51,1600,40.2,22.2,12.78,0.21,87.01,2,32.78,9.42,172,209,619,0.28
Serbia,10.31,0.000112809,7.499056604,2326815,60399,1682343,76.001,0.58,17,25468.3835,72.5041384,130.274437,256.946409,EASTERN EUROPE,9396411,88361,0,-1.33,12.89,2200,93,285.8,33.35,3.2,63.45,,,,166,255,579,59.79
Sierra Leone,27.74,3.33E-07,67,68330,48083,288614,54.696,11.35,1360,62171.278,2190.55736,2962.18009,5360.96936,SUB-SAHARAN AFRICA,6005250,71740,0.56,0,143.64,500,31.4,4,6.98,0.89,92.13,2,45.76,23.03,0.49,0.31,0.21,95.34
Singapore,,0.000222611,16.101,7390971,3014906,4967044,83.62,0.28,10,14901.2345,32.6719273,168.810505,412.92307,ASIA (EX. NEAR EAST),4492150,693,27.85,11.53,2.29,23700,92.5,411.4,1.64,0,98.36,2,9.34,4.28,0,339,661,
Slovakia,7.6,7.35E-05,2.5075,5379868,162668,1239592,77.542,0.59,6,23466.2281,3.90770012,22.9851747,33.0315368,EASTERN EUROPE,5439448,48845,0,0.3,7.41,13300,,220.1,30.16,2.62,67.22,3,10.65,9.45,35,294,672,53.51
Slovenia,7.58,0.000418336,0.705112961,3006162,659309,510975,81.324,0.23,9,19703.3589,2.47172064,11.4852493,18.9639258,EASTERN EUROPE,2010347,20273,0.23,1.12,4.45,19000,99.7,406.1,8.6,1.49,89.91,,8.98,10.31,28,369,603,111.72
Somalia,28,5.64E-07,119.2,21893,716,45623,57.397,13.25,732,62153.3544,2392.79588,2382.25241,3095.45999,SUB-SAHARAN AFRICA,8863338,637657,0.47,5.37,116.7,500,37.8,11.3,1.67,0.04,98.29,1,45.13,16.63,0.65,0.1,0.25,58.46
South Africa,17.74,3.12E-05,3.312318841,15481545,10649349,2249225,64.131,4.33,138,45453.0184,135398.608,276495.965,668333.981,SUB-SAHARAN AFRICA,44187637,1219912,0.23,-0.29,61.81,10700,86.4,107,12.08,0.79,87.13,1,18.2,22,25,303,671,40.08
Spain,10.65,0.002577316,1.067039321,83934178,6546065,28003423,83.565,0.33,5,17002.972,708.344423,6532.45534,24082.1617,WESTERN EUROPE,40397842,504782,0.98,0.99,4.42,22000,97.9,453.5,26.07,9.87,64.06,3,10.06,9.72,0.04,295,665,60.28
Sri Lanka,27.79,7.22E-06,3.726027397,1398839,200394,1575508,76.978,0.94,30,22689.155,55.8075175,290.657825,215.415629,ASIA (EX. NEAR EAST),20222240,65610,2.04,-1.31,14.35,3700,92.3,61.5,13.86,15.7,70.44,2,15.51,6.52,178,276,545,152.65
Sudan,28.78,1.70E-07,75.14285714,480678,83213,1469258,65.311,6.51,311,39487.4032,5296.18103,6569.34971,8579.66365,SUB-SAHARAN AFRICA,41236378,2505810,0.03,-0.02,62.5,1900,61.1,16.3,6.83,0.18,92.99,2,34.53,8.97,387,203,0.41,3.64
Suriname,25.64,2.28E-05,0,134132,39300,57400,71.682,2,155,32970.3822,101.7875,207.399449,363.869461,LATIN AMER. & CARIB,439117,163270,0.24,-8.81,23.57,4000,93,184.7,0.37,0.06,99.57,2,18.02,7.27,0.13,0.22,0.65,257.72
Sweden,0.19,0.000548655,3.350111178,46733781,712491,8440205,82.797,0.29,4,18002.2597,22.7690977,625.684456,410.418494,WESTERN EUROPE,9016596,449964,0.72,1.67,2.77,26800,99,715,6.54,0.01,93.45,3,10.27,10.31,11,282,707,33.44
Switzerland,3.35,0.002361531,0.671825754,25832437,34595409,24823775,83.779,0.41,5,17047.955,38.3397519,653.899305,2174.02133,WESTERN EUROPE,7523934,41290,0,4.05,4.39,32700,99,680.9,10.42,0.61,88.97,3,9.71,8.49,15,0.34,645,140.74
Thailand,28.89,2.74E-05,0.671372106,14266807,2433978,2189634,77.15,1.22,20,23662.25,19371.9923,24539.7885,54882.0369,ASIA (EX. NEAR EAST),64631595,514000,0.63,0,20.48,7400,92.6,108.9,29.36,6.46,64.18,2,13.87,7.04,99,441,0.46,82.33
Togo,28.81,6.49E-06,2.416666667,55148,26500,165571,61.042,7.57,368,49336.8554,3874.59864,3684.00576,10630.0764,SUB-SAHARAN AFRICA,5548702,56785,0.1,0,66.61,1500,60.9,10.6,46.15,2.21,51.64,2,37.01,9.83,395,204,401,99.82
Tunisia,17.39,4.16E-05,1.359338061,1559350,91591,1061543,76.699,1.36,62,23405.9202,193.685826,430.572928,367.81329,NORTHERN AFRICA,10175014,163610,0.7,-0.57,24.77,6900,74.2,123.6,17.86,13.74,68.4,3,15.52,5.13,132,318,0.55,22.39
Turkey,10.02,0.000222669,6.806110084,23611948,1576026,5214077,77.691,1.27,16,23005.7211,200.170187,473.904265,493.382806,NEAR EAST,70413958,780580,0.92,0,41.04,6700,86.5,269.5,30.93,3.31,65.76,3,16.62,5.97,117,298,585,62.09
Uganda,23.05,1.56E-06,0.931818182,279519,52022,681139,63.368,5.3,343,46651.4237,25920.0951,40265.9755,135005.678,SUB-SAHARAN AFRICA,28195754,236040,0,0,67.83,1400,69.9,3.6,25.88,10.65,63.47,2,47.35,12.24,311,222,469,151.87
Ukraine,9.09,1.70E-05,12.67884131,4273555,241803,5184459,72.065,0.91,24,34975.044,5075.77857,27910.3003,19023.0007,C.W. OF IND. STATES,46710816,603700,0.46,-0.39,20.34,5400,99.7,259.9,56.21,1.61,42.18,3,8.82,14.39,187,452,361,40.67
United Arab Emirates,26.58,0.000312751,15.01719902,9737249,1306434,2573284,77.972,0.77,6,30806.9187,204.948643,237.112298,233.692101,NEAR EAST,2602713,82880,1.59,1.03,14.51,23200,77.9,475.3,0.6,2.25,97.15,1,18.96,4.4,0.04,585,375,8.96
United Kingdom,6.74,5.28E-07,2.5625,205197139,11836364,41255041,81.321,0.43,9,20120.8978,264.083095,7149.00074,9460.72433,WESTERN EUROPE,60609153,244820,5.08,2.19,5.16,27700,99,543.5,23.46,0.21,76.33,3,10.71,10.13,5,237,758,68.67
